"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"LUNA","Luna Innovations Incorporated","3.36","$91.81M","2006","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/luna",
"LBC","Luther Burbank Corporation","12.41","$701.92M","2017","Finance","Major Banks","https://www.nasdaq.com/symbol/lbc",
"MBTF","M B T Financial Corp","10.55","$242.42M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/mbtf",
"MACQ","M I Acquisitions, Inc.","10.5","$25.05M","2016","Finance","Business Services","https://www.nasdaq.com/symbol/macq",
"MACQU","M I Acquisitions, Inc.","11.04","n/a","2016","n/a","n/a","https://www.nasdaq.com/symbol/macqu",
"MACQW","M I Acquisitions, Inc.","0.9494","n/a","2016","Finance","Business Services","https://www.nasdaq.com/symbol/macqw",
"MBVX","MabVax Therapeutics Holdings, Inc.","1.129","$10.12M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/mbvx",
"MCBC","Macatawa Bank Corporation","11.8","$401.41M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/mcbc",
"MFNC","Mackinac Financial Corporation","15.53","$131.81M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/mfnc",
"MTSI","MACOM Technology Solutions Holdings, Inc.","22.065","$1.43B","2012","Technology","Semiconductors","https://www.nasdaq.com/symbol/mtsi",
"MGNX","MacroGenics, Inc.","21.81","$920.43M","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/mgnx",
